ID,SDI_SCORE,SOIR,SOIR_behavior,SOIR_attitude,SOIR_desire
252,79,33,12,14,7
253,73,67,22,25,21
254,67,35,4,19,12
255,54,47,17,18,12
256,55,37,10,20,7
257,85,50,8,23,20
258,74,43,11,21,11
259,54,11,5,3,3
260,65,49,18,18,13
261,76,33,7,14,12
262,27,17,5,9,3
263,62,27,4,16,7
264,87,49,10,23,16
265,21,26,3,11,13
266,70,26,6,14,6
267,77,51,16,19,17
268,57,40,11,18,11
269,71,23,4,10,9
270,83,56,8,27,21
271,54,23,4,16,3
272,66,23,3,17,3
273,53,46,19,18,9
274,74,47,16,25,6
275,76,41,15,18,8
276,58,22,6,11,5
277,50,49,20,23,6
278,11,10,3,3,4
279,34.768953068592054,26,3,18,5
280,68,14,4,3,7
281,71,34,5,16,13
282,77,53,19,16,19
283,47,34,3,21,11
284,66,30,5,19,6
285,46,27,4,13,10
286,55,43,9,19,15
287,60,16,7,5,4
288,81,45,12,20,13
289,78,46,8,19,20
290,58,23,4,13,6
291,67,19,4,12,3
292,70,36,6,18,12
293,82,36,5,19,13
294,30,18,12,3,3
295,54,19,4,9,6
296,70,25,4,13,8
297,46,23,4,13,6
298,16,26,3,15,8
299,56,36,7,19,10
300,45,28,5,19,4
301,70,50,9,25,16
302,60,23,4,12,7
303,69,28,7,15,6
304,73,23,3,3,17
305,51,37,6,22,9
306,67,52,18,19,16
307,43,12,4,5,3
308,74,34,5,15,15
309,43,26,7,14,5
310,67,39,8,19,12
311,70,35,13,17,5
312,53,21,4,14,3
313,39,37,9,22,6
314,87,29,4,22,3
315,68,47,11,26,10
316,78,11,4,3,4
317,53,33,5,23,5
318,19,28,4,15,9
319,59,37,7,22,8
320,39,37,15,18,4
321,45,28,5,19,4
322,59,25,3,12,10
323,70,39,3,21,16
324,82,54,11,22,21
325,42,42,8,26,8
326,54,31,11,15,5
327,69,18,3,8,7
328,56,38,14,20,4
329,44,23,6,13,4
330,43,20,5,11,4
331,64,41,11,21,9
332,58,32,5,24,3
333,64,33,10,16,7
334,78,40,5,19,17
335,73,36,8,14,14
336,49,30,6,20,4
337,69,28,8,14,6
338,64,41,7,24,10
339,38,22,6,13,3
340,77,40,9,19,12
341,61,44,18,23,3
342,52,15,5,7,3
343,59,38,5,21,12
344,43,26,3,16,7
345,70,50,10,22,18
346,58,32,12,16,4
347,64,26,7,13,6
348,65,49,12,19,18
349,50,16,3,10,3
