ID,SDI_SCORE,LONEV3_SCORE,MSPSS_SCORE
240,66,51,5
241,54,26,7
242,54,39,6.583333333333333
243,62,63,3.75
244,53,40,6.25
245,46,55,4.416666666666667
246,53,33,6.916666666666667
247,61,52,4.583333333333333
248,66,58,5.083333333333333
249,42,47,5.333333333333333
250,54,36,6.416666666666667
251,77,48,6
252,79,46,6.416666666666667
253,73,40,5.083333333333333
254,67,41,5.916666666666667
255,54,64,1.25
256,55,31,5.833333333333333
257,85,37,5.75
258,74,47,4.666666666666667
259,54,42,4.75
260,65,39,6.25
261,76,49,5.916666666666667
262,27,42,7
263,62,57,6.083333333333333
264,87,54,5.25
265,21,59,3.5833333333333335
266,70,54,5.166666666666667
267,77,53,3.5
268,57,45,5.916666666666667
269,71,49,5.333333333333333
270,83,57,5.333333333333333
271,54,36,5.5
272,66,48,4.333333333333333
273,53,48,6.083333333333333
274,74,40,6.583333333333333
275,76,26,6.25
276,58,54,4.583333333333333
277,50,34,5.583333333333333
278,11,61,3.1666666666666665
279,34.768953068592054,44,4.583333333333333
280,68,33,6.5
281,71,56,4.5
282,77,26,6.916666666666667
283,47,42,4.083333333333333
284,66,42,5.833333333333333
285,46,28,6.75
286,55,25,6.25
287,60,43,6.916666666666667
288,81,58,4.5
289,78,36,4.833333333333333
290,58,28,5.833333333333333
291,67,60,3.6666666666666665
292,70,32,5.666666666666667
293,82,39,6.5
294,30,38,6.5
295,54,58,4.166666666666667
296,70,41,4.833333333333333
297,46,40,5.916666666666667
298,16,47,2.25
299,56,56,3.25
300,45,52,4.75
301,70,32,6.333333333333333
302,60,53,5.833333333333333
303,69,55,5.833333333333333
304,73,62,3.25
305,51,43.08662748951287,5.916666666666667
306,67,53,5
307,43,37,5.833333333333333
308,74,42,5.916666666666667
309,43,45,5.5
310,67,41.00531914893617,5.583333333333333
311,70,41,6.916666666666667
312,53,52,6.166666666666667
313,39,48,6
314,87,27,6.75
315,68,42,6.666666666666667
316,78,62,4.333333333333333
317,53,39,5.583333333333333
318,19,50,5.416666666666667
319,59,42,5.583333333333333
320,39,40,6.166666666666667
321,45,43,6.416666666666667
322,59,47,3.4166666666666665
323,70,36,5.416666666666667
324,82,47,5.416666666666667
325,42,40,6.333333333333333
326,54,46,6.333333333333333
327,69,67,2.25
328,56,33,6.083333333333333
329,44,51,5.583333333333333
330,43,46,6.083333333333333
331,64,55,3.4166666666666665
332,58,47,5.25
333,64,41,6
334,78,40,6
335,73,48,5.75
336,49,59,2.8333333333333335
337,69,57,4.166666666666667
338,64,52,6.166666666666667
339,38,36,5.083333333333333
340,77,50,5.333333333333333
341,61,28,6.916666666666667
342,52,37,5.75
343,59,38,5.833333333333333
344,43,39,6.083333333333333
345,70,46,5.666666666666667
346,58,34,6.583333333333333
347,64,52,4.583333333333333
348,65,29,6.583333333333333
349,50,38,5
350,66,42,6
351,58,30,7
352,64,34,6.916666666666667
353,61,52,5.416666666666667
354,63.88193202146691,62,2.4166666666666665
355,79,49,6.416666666666667
356,60,61.66429840142096,6
357,61,32,7
358,93,66,4.333333333333333
359,64,64,2.3333333333333335
360,75,45,6.583333333333333
361,73,66,3.0833333333333335
362,67,47,6
363,61,47,5.833333333333333
364,54,46,5.666666666666667
365,28,44,5.916666666666667
366,83,48,6.083333333333333
367,72,49,5.083333333333333
368,54,47,4.333333333333333
369,91,67,4.25
370,36,57,5.166666666666667
371,62,49,5.833333333333333
372,68,71,2.6666666666666665
373,68,37,6
374,70,40,7
375,63,28,6.916666666666667
376,43,44,5.666666666666667
377,39,34,6.75
378,42,44,5.583333333333333
379,51,36,6.583333333333333
380,47,56,4.416666666666667
381,56,47,5.5
382,32.17005480766566,35,4.666666666666667
383,14,44,5.083333333333333
384,96,51,7
385,69,57,2
386,71,45,5.5
387,64,56,4.333333333333333
388,57,65,2.3333333333333335
389,54,33,5.75
390,50.92307692307692,47,7
391,96,40,6.75
392,66,54,4.083333333333333
393,63,45,6
394,43,58,5.833333333333333
395,57,28,7
396,56,39,1
397,64,48,6.25
398,44,33,6.5
